ID;sellerId;plate;vin;make;model;variant;year;registrationDate;fuelType;gearbox;bodyType;doors;seats;color;euroNorm;energyClass;critAirLevel;critAirLabel;critAirColor;recallCount;price;mileage;description;condition;city;postalCode;latitude;longitude;certificationLevel;ctValid;status;visibilityScore;visibilityLabel;completionPercentage;declarationId
b0000001-0000-0000-0000-000000000001;11111111-1111-1111-1111-111111111111;AB-123-CD;VF1RFB00X56789012;Renault;Clio V;RS Line;2022;2022-03-15;essence;EDC;berline;5;5;Rouge Flamme;Euro 6d;A;Crit Air 1;Vignette Crit Air 1;violet;0;18500;35000;Renault Clio V RS Line en excellent etat. Premiere main, entretien suivi chez Renault. Controle technique a jour.;Excellent;Paris;75002;48.856600;2.352200;tres_documente;true;published;92;Tres documente;95;c0000001-0000-0000-0000-000000000001
b0000001-0000-0000-0000-000000000002;11111111-1111-1111-1111-111111111111;EF-456-GH;VF3LCBHZ6JS123456;Peugeot;308 GT;;2023;2023-01-10;diesel;EAT8;berline;5;5;Bleu Vertigo;Euro 6d-FULL;A;Crit Air 2;Vignette Crit Air 2;jaune;2;28900;15000;Peugeot 308 GT quasi neuve. Boite automatique EAT8, GPS integre, camera de recul.;Excellent;Lyon;69006;45.764000;4.835700;tres_documente;true;published;95;Tres documente;98;c0000001-0000-0000-0000-000000000002
b0000001-0000-0000-0000-000000000003;22222222-2222-2222-2222-222222222222;IJ-789-KL;WVWZZZ3CZWE123456;Volkswagen;Golf 8;;2021;2021-09-20;essence;DSG;berline;5;5;Gris Moonstone;Euro 6d;B;Crit Air 1;Vignette Crit Air 1;violet;0;24500;45000;Volkswagen Golf 8 TSI 150ch. Boite DSG, carnet entretien complet.;Bon;Marseille;13001;43.296500;5.369800;tres_documente;true;published;90;Tres documente;94;c0000001-0000-0000-0000-000000000003
b0000001-0000-0000-0000-000000000004;22222222-2222-2222-2222-222222222222;MN-012-OP;WBA11AA010CH12345;BMW;Serie 3;320d;2020;2020-06-01;diesel;automatique;berline;4;5;Noir Saphir;Euro 6d-TEMP;A;Crit Air 2;Vignette Crit Air 2;jaune;0;45000;68000;BMW Serie 3 320d luxe. Interieur cuir, toit ouvrant, pack M Sport.;Excellent;Bordeaux;33000;44.837800;-0.579200;tres_documente;true;published;93;Tres documente;96;c0000001-0000-0000-0000-000000000004
b0000001-0000-0000-0000-000000000005;11111111-1111-1111-1111-111111111111;;;Audi;A3 Sportback;;2022;;essence;manuelle;berline;5;5;;;;;;;0;27500;28000;Audi A3 Sportback TFSI. Design moderne, technologie MMI plus, LED Matrix.;Bon;Toulouse;31000;43.604700;1.444200;partiellement_documente;false;published;72;Bien documente;78;c0000001-0000-0000-0000-000000000005
b0000001-0000-0000-0000-000000000006;22222222-2222-2222-2222-222222222222;;;Toyota;Yaris Cross;;2024;;hybride;automatique;berline;5;5;;;;;;;0;22800;15000;Toyota Yaris Cross hybride. Consommation tres faible, ideal ville et route.;Excellent;Paris;75011;48.859300;2.380600;partiellement_documente;false;published;70;Bien documente;75;c0000001-0000-0000-0000-000000000006
b0000001-0000-0000-0000-000000000007;11111111-1111-1111-1111-111111111111;;;Mercedes;Classe A;200;2021;;diesel;automatique;berline;5;5;;;;;;;0;38000;52000;Mercedes Classe A 200d AMG Line. Interieur MBUX, eclairage ambiant 64 couleurs.;Bon;Lyon;69003;45.760400;4.843700;partiellement_documente;false;published;75;Bien documente;80;c0000001-0000-0000-0000-000000000007
b0000001-0000-0000-0000-000000000008;22222222-2222-2222-2222-222222222222;;;Ford;Focus;ST-Line;2019;;essence;manuelle;berline;5;5;;;;;;;0;16500;78000;Ford Focus ST-Line 1.0 EcoBoost. Design sportif, bonne tenue de route.;Correct;Marseille;13008;43.277500;5.381100;partiellement_documente;true;published;68;Partiellement documente;70;c0000001-0000-0000-0000-000000000008
b0000001-0000-0000-0000-000000000009;11111111-1111-1111-1111-111111111111;;;Citroen;C3;;2020;;essence;manuelle;berline;5;5;;;;;;;0;11500;65000;Citroen C3 PureTech. Parfait premier vehicule, faible consommation.;Bon;Bordeaux;33000;44.837800;-0.579200;partiellement_documente;true;sold;65;Partiellement documente;72;c0000001-0000-0000-0000-000000000009
b0000001-0000-0000-0000-000000000010;22222222-2222-2222-2222-222222222222;;;Dacia;Sandero;Stepway;2018;;essence;manuelle;berline;5;5;;;;;;;0;5000;180000;Dacia Sandero Stepway. Vehicule economique et fiable.;Correct;Toulouse;31000;43.604700;1.444200;partiellement_documente;false;sold;55;Partiellement documente;65;c0000001-0000-0000-0000-000000000010
b0000001-0000-0000-0000-000000000011;11111111-1111-1111-1111-111111111111;;;Peugeot;208;;2019;;diesel;manuelle;berline;5;5;;;;;;;0;12000;95000;Peugeot 208 BlueHDi. Economique en diesel, bon etat mecanique.;Correct;Paris;75015;48.842200;2.296400;partiellement_documente;false;expired;60;Partiellement documente;68;c0000001-0000-0000-0000-000000000011
